subject,section,passage_text,question_text,option_a,option_b,option_c,option_d,correct_option
"الحاسوب","Microsoft Excel","","كيف يمكنك إعادة فصل خلية مدمجة إلى الخلايا الأصلية؟","تحديد الخلية المدمجة والنقر على \"Merge & Center\" مرة أخرى","تحديد الخلية المدمجة والنقر على \"Split Cells\"","الضغط على Delete","لا يمكن فصل الخلايا المدمجة","تحديد الخلية المدمجة والنقر على \"Merge & Center\" مرة أخرى"
"الحاسوب","Microsoft Excel","","ماذا تفعل خاصية \"Wrap Text\" في Excel؟","تدمج الخلايا","تجعل النص يظهر في سطر واحد","تجعل النص يظهر على عدة أسطر داخل الخلية","تغير لون النص","تجعل النص يظهر على عدة أسطر داخل الخلية"
"الحاسوب","Microsoft Excel","","إذا كان لديك ثلاث أوراق عمل (Sheet1, Sheet2, Sheet3) وتريد حذف Sheet3، فما الطريقة؟","انقر بزر الماوس الأيمن على علامة تبويب الورقة واختر Delete","الضغط على Delete من لوحة المفاتيح","من قائمة Data اختر Delete Sheet","من قائمة View اختر Hide Sheet","انقر بزر الماوس الأيمن على علامة تبويب الورقة واختر Delete"
"الحاسوب","Microsoft PowerPoint","","ما هو العنصر في PowerPoint الذي يحدد مظهر العرض كاملاً (الألوان، الخطوط، الخلفية)؟","الحركات (Animations)","الشرائح (Slides)","قالب التصميم (Design Template)","المخطط (Chart)","قالب التصميم (Design Template)"
"الحاسوب","Microsoft PowerPoint","","أي من الخيارات التالية *ليس* طريقة لبدء إنشاء عرض تقديمي جديد في PowerPoint؟","Blank Presentation","Template","Open an existing presentation","Theme","Open an existing presentation"
"الحاسوب","Microsoft PowerPoint","","لتغيير لون كل العناوين الرئيسية في العرض التقديمي مرة واحدة، ما أفضل طريقة؟","تغيير لون كل عنوان على حدة","استخدام ميزة Replace لاستبدال اللون","تعديل لون النص في Slide Master","لا يمكن فعل ذلك","تعديل لون النص في Slide Master"
"الحاسوب","البريد الإلكتروني","","إذا وصلتك رسالة بريد إلكتروني وتريد إرسال نسخة منها لشخص آخر، فما الإجراء؟","Reply","Reply All","Forward","Send","Forward"
"الحاسوب","البريد الإلكتروني","","في معظم برامج البريد، أين تذهب الرسائل التي تقوم بحذفها قبل حذفها نهائياً؟","Inbox","Sent Items","Trash أو Deleted Items","Drafts","Trash أو Deleted Items"
"الحاسوب","الإنترنت والشبكات","","أين يتم تخزين المستندات والملفات عبر الإنترنت للوصول إليها من أي جهاز؟","على القرص الصلب C","في ذاكرة USB","في التخزين السحابي (Cloud Storage)","في ذاكرة الوصول العشوائي RAM","في التخزين السحابي (Cloud Storage)"
"الحاسوب","الإنترنت والشبكات","","الإنترنت هو:","برنامج لتصميم المواقع","شبكة واحدة محلية داخل مبنى","شبكة عالمية مكونة من ملايين الشبكات المتصلة ببعضها","جهاز لتوزيع الإنترنت","شبكة عالمية مكونة من ملايين الشبكات المتصلة ببعضها"
"الحاسوب","الإنترنت والشبكات","","أي من الأجهزة التالية يتمتع عادة بأكبر سعة تخزين ومعالجة لتقديم الخدمات لأجهزة أخرى؟","الكمبيوتر الشخصي (PC)","الهاتف الذكي (Smartphone)","الخادم (Server)","التابلت (Tablet)","الخادم (Server)"
"الحاسوب","الإنترنت والشبكات","","ما الفرق الرئيسي بين HTTP و HTTPS؟","HTTPS أسرع","HTTPS يستخدم للتخزين","HTTPS أكثر أماناً بسبب التشفير","HTTPS هو برنامج","HTTPS أكثر أماناً بسبب التشفير"
"الحاسوب","الإنترنت والشبكات","","ما هي لغة أو بروتوكول نقل ملفات البيانات عبر الشبكة؟","HTTP","HTML","FTP","URL","FTP"
"الحاسوب","الأجهزة والتقنيات","","ما هي الوسيلة التقليدية التي تمكن من إرسال صورة من وثيقة عبر خط الهاتف دون الحاجة إلى كمبيوتر؟","الطابعة (Printer)","الماسح الضوئي (Scanner)","الفاكس (Fax)","البريد الإلكتروني (Email)","الفاكس (Fax)"
"الحاسوب","الأجهزة والتقنيات","","أي من التقنيات التالية تساعد المصابين بالعمى على استخدام الكمبيوتر؟","برنامج قارئ الشاشة (Screen Reader)","لوحة المفاتيح الخاصة","الطابعة الملونة","كاميرا الويب","برنامج قارئ الشاشة (Screen Reader)"
"الحاسوب","Microsoft Office","","ماذا يفعل الاختصار Ctrl + X؟","نسخ العنصر المحدد","لصق العنصر المحدد","قص العنصر المحدد","حفظ العنصر المحدد","قص العنصر المحدد"
"الحاسوب","Microsoft Office","","كيف تجعل النص المحدد غامقاً (Bold)؟","Ctrl + I","Ctrl + U","Ctrl + B","Ctrl + G","Ctrl + B"
"الحاسوب","Microsoft Excel","","ما هي الطريقة الأكثر شيوعاً لفتح تطبيق Excel الموجود على جهازك؟","إعادة تشغيل الكمبيوتر","البحث عنه في قائمة Start أو النقر على أيقونته","فتح متصفح الإنترنت","الضغط على Ctrl + O","البحث عنه في قائمة Start أو النقر على أيقونته"
"الحاسوب","Microsoft Office","","للعثور على كلمة محددة داخل مستند أو صفحة ويب بسرعة، ما الاختصار الذي تستخدمه؟","Ctrl + A","Ctrl + C","Ctrl + V","Ctrl + F","Ctrl + F"
"الحاسوب","الإنترنت والشبكات","","ماذا يعني بروتوكول HTTP ؟","بروتوكول نقل النص التشعبي","بروتوكول إرسال البريد الإلكتروني","بروتوكول نقل الملفات","بروتوكول الاتصال الآمن","بروتوكول نقل النص التشعبي"
"الحاسوب","الأجهزة والتقنيات","","أي من الآتي يعد من الأجزاء المادية للحاسوب؟","نظام التشغيل","البرامج التطبيقية","لوحة المفاتيح","المتصفح","لوحة المفاتيح"
"الحاسوب","Microsoft Excel","","كيف تنتقل عمودياً بين الخلايا في Excel ؟","باستخدام مفتاح Tab","باستخدام مفتاح Enter","باستخدام مفتاح Esc","باستخدام مفتاح Space","باستخدام مفتاح Enter"
"الحاسوب","Microsoft Excel","","كم عدد الخلايا في ورقة Excel واحدة؟","١,٠٠٠,٠٠٠ خلية","١٧,١٧٩,٨٦٩,١٨٤ خلية","١٠,٠٠٠,٠٠٠ خلية","١,٠٤٨,٥٧٦ خلية","١٧,١٧٩,٨٦٩,١٨٤ خلية"
"الحاسوب","Microsoft Excel","","كيف يمكن تحويل البيانات من عمود إلى صف في Excel ؟","استخدام أمر Cut ثم Paste","استخدام خاصية Transpose في Paste Special","استخدام أمر Format Cells","استخدام زر Text to Columns","استخدام خاصية Transpose في Paste Special"
"الحاسوب","Microsoft Office","","ماذا يفعل اختصار Ctrl + X ؟","نسخ النص","لصق النص","قص النص","تراجع","قص النص"
"الحاسوب","Microsoft Excel","","ماذا يفعل اختصار Ctrl + D في Excel ؟","يحذف العمود","ينسخ التنسيق","يملأ الخلايا لأسفل","يفتح مربع الحوار","يملأ الخلايا لأسفل"
"الحاسوب","Microsoft Excel","","ماذا يفعل اختصار Ctrl + G في Excel ؟","فتح البحث","الانتقال إلى خلية محددة","حفظ الملف","فتح التنسيق","الانتقال إلى خلية محددة"
"الحاسوب","Microsoft Excel","","أي من الطرق التالية غير صحيحة لتحرير محتوى الخلية في Excel ؟","النقر المزدوج على الخلية","الضغط على مفتاح F2","الضغط على مفتاح Alt","النقر في شريط الصيغة","الضغط على مفتاح Alt"
"الحاسوب","Microsoft Excel","","أين تجد خيار إظهار إخفاء العناوين في Excel ؟","في تبويب Home","في تبويب Insert","في تبويب View","في تبويب Data","في تبويب View"
"الحاسوب","Microsoft Excel","","ماذا يفعل مفتاح Delete في Excel ؟","يحذف الخلية كاملة مع التنسيق","يمسح المحتوى فقط","يحذف الصف بأكمله","يحذف العمود بأكمله","يمسح المحتوى فقط"
"الحاسوب","الإنترنت والشبكات","","كيف تحفظ صفحة ويب للعودة إليها لاحقاً؟","استخدام History","استخدام الإشارات المرجعية (Bookmarks)","استخدام Downloads","استخدام Settings","استخدام الإشارات المرجعية (Bookmarks)"
"الحاسوب","الأجهزة والتقنيات","","أي من الخيارات التالية يمثل وسيلة تخزين للملفات؟","Microsoft Word","Google Chrome","OneDrive","Windows Explorer فقط","OneDrive"
"الحاسوب","Microsoft Excel","","أين تجد خيار إدراج الرأس والتذييل في Excel ؟","في تبويب Page Layout","في تبويب Insert","في تبويب View","في تبويب Data","في تبويب Insert"
"الحاسوب","Microsoft Word","","أين تجد خيار التدقيق الإملائي في Word ؟","في تبويب Home","في تبويب Insert","في تبويب Review","في تبويب View","في تبويب Review"
"الحاسوب","البريد الإلكتروني","","أين تجد البريد الإلكتروني المحذوف في Outlook ؟","في مجلد Inbox","في مجلد Sent Items","في مجلد Deleted Items","في مجلد Archive","في مجلد Deleted Items"
"الحاسوب","الحاسوب العام","","أي من العناصر التالية لا ينتمي إلى قائمة المهام عادة؟","إعدادات الطابعة","كتابة تقرير","إرسال بريد إلكتروني","حضور اجتماع","إعدادات الطابعة"
"الحاسوب","البريد الإلكتروني","","أين تجد البريد الإلكتروني الذي لم يكتمل إرساله؟","في مجلد Inbox","في مجلد Drafts","في مجلد Junk","في مجلد Sent Items","في مجلد Drafts"
